class,K,T,R,Q,I,A,E,V,Y,G
2.0,0.06,0.05,0.07,0.05,0.04,0.05,0.1,0.06,0.04,0.04
2.0,0.0,0.06,0.0,0.06,0.0,0.15,0.02,0.17,0.05,0.07
2.0,0.09,0.08,0.03,0.07,0.03,0.11,0.04,0.02,0.0,0.08
2.0,0.07,0.04,0.03,0.06,0.08,0.09,0.1,0.03,0.04,0.04
2.0,0.13,0.08,0.04,0.09,0.02,0.09,0.06,0.04,0.02,0.08
2.0,0.0,0.07,0.11,0.08,0.02,0.13,0.05,0.01,0.02,0.09
2.0,0.04,0.04,0.06,0.04,0.03,0.12,0.08,0.0,0.02,0.04
2.0,0.02,0.09,0.0,0.07,0.06,0.08,0.07,0.11,0.0,0.04
2.0,0.07,0.06,0.01,0.06,0.02,0.04,0.09,0.03,0.01,0.01
2.0,0.09,0.09,0.05,0.03,0.06,0.09,0.08,0.07,0.02,0.03
2.0,0.04,0.05,0.03,0.03,0.05,0.06,0.13,0.07,0.02,0.05
2.0,0.02,0.06,0.01,0.05,0.07,0.07,0.09,0.04,0.05,0.06
2.0,0.0,0.2,0.0,0.1,0.04,0.13,0.05,0.05,0.0,0.09
2.0,0.09,0.03,0.03,0.01,0.11,0.12,0.02,0.1,0.04,0.06
2.0,0.05,0.11,0.03,0.02,0.08,0.11,0.05,0.08,0.0,0.08
2.0,0.07,0.06,0.05,0.02,0.09,0.06,0.04,0.06,0.05,0.09
2.0,0.04,0.04,0.08,0.01,0.03,0.13,0.03,0.07,0.04,0.14
2.0,0.09,0.06,0.01,0.0,0.06,0.08,0.03,0.08,0.04,0.13
2.0,0.08,0.07,0.04,0.02,0.07,0.12,0.02,0.07,0.04,0.07
2.0,0.05,0.11,0.03,0.01,0.03,0.17,0.01,0.09,0.04,0.07
2.0,0.08,0.07,0.07,0.03,0.08,0.09,0.03,0.06,0.05,0.04
2.0,0.1,0.04,0.04,0.04,0.09,0.07,0.03,0.04,0.05,0.08
2.0,0.04,0.1,0.03,0.03,0.02,0.11,0.05,0.05,0.03,0.03
2.0,0.04,0.13,0.0,0.02,0.03,0.04,0.03,0.04,0.02,0.09
2.0,0.04,0.11,0.0,0.01,0.05,0.12,0.07,0.1,0.0,0.12
2.0,0.05,0.11,0.02,0.03,0.07,0.08,0.02,0.07,0.02,0.06
2.0,0.05,0.03,0.08,0.02,0.05,0.11,0.04,0.08,0.04,0.08
2.0,0.04,0.1,0.01,0.05,0.03,0.2,0.02,0.13,0.0,0.08
2.0,0.07,0.08,0.04,0.04,0.09,0.13,0.02,0.05,0.01,0.08
2.0,0.07,0.09,0.02,0.05,0.05,0.08,0.06,0.04,0.04,0.09
2.0,0.03,0.08,0.04,0.04,0.02,0.05,0.11,0.05,0.0,0.09
2.0,0.03,0.07,0.04,0.01,0.04,0.14,0.02,0.1,0.02,0.06
2.0,0.11,0.07,0.01,0.06,0.07,0.09,0.05,0.03,0.03,0.1
2.0,0.05,0.09,0.02,0.02,0.09,0.16,0.04,0.04,0.02,0.11
0.0,0.06,0.12,0.0,0.04,0.05,0.11,0.03,0.09,0.03,0.07
0.0,0.05,0.08,0.01,0.02,0.04,0.15,0.03,0.12,0.0,0.09
0.0,0.05,0.14,0.03,0.05,0.05,0.15,0.02,0.07,0.02,0.08
0.0,0.11,0.14,0.0,0.02,0.03,0.07,0.03,0.1,0.01,0.07
0.0,0.02,0.02,0.02,0.06,0.04,0.23,0.02,0.07,0.02,0.12
0.0,0.11,0.08,0.02,0.09,0.06,0.05,0.03,0.03,0.02,0.11
0.0,0.01,0.07,0.04,0.08,0.07,0.1,0.03,0.07,0.04,0.09
0.0,0.06,0.13,0.02,0.03,0.0,0.1,0.02,0.05,0.07,0.1
0.0,0.05,0.07,0.04,0.05,0.03,0.09,0.02,0.06,0.04,0.08
0.0,0.04,0.02,0.01,0.06,0.06,0.11,0.02,0.08,0.02,0.12
0.0,0.07,0.11,0.01,0.03,0.04,0.12,0.02,0.04,0.02,0.06
0.0,0.06,0.12,0.04,0.05,0.03,0.14,0.03,0.09,0.0,0.08
0.0,0.04,0.05,0.03,0.08,0.06,0.09,0.05,0.08,0.04,0.09
0.0,0.1,0.06,0.01,0.01,0.04,0.09,0.07,0.1,0.0,0.1
0.0,0.09,0.08,0.02,0.01,0.07,0.14,0.06,0.05,0.02,0.04
0.0,0.07,0.06,0.05,0.02,0.07,0.12,0.03,0.1,0.03,0.06
0.0,0.1,0.06,0.0,0.04,0.06,0.08,0.05,0.13,0.0,0.07
