class,S,A,G,K,C,E,L,Q,P,T,I
2.0,0.09,0.08,0.09,0.07,0.0,0.06,0.05,0.05,0.02,0.09,0.05
2.0,0.13,0.05,0.09,0.03,0.0,0.11,0.05,0.04,0.04,0.08,0.02
2.0,0.07,0.14,0.06,0.03,0.03,0.02,0.09,0.01,0.04,0.07,0.04
2.0,0.07,0.09,0.1,0.11,0.0,0.05,0.12,0.06,0.01,0.07,0.07
2.0,0.14,0.16,0.11,0.05,0.0,0.04,0.06,0.02,0.01,0.09,0.09
0.0,0.09,0.11,0.07,0.06,0.02,0.03,0.09,0.04,0.04,0.12,0.05
0.0,0.11,0.15,0.09,0.05,0.02,0.03,0.07,0.02,0.01,0.08,0.04
0.0,0.05,0.15,0.08,0.05,0.02,0.02,0.08,0.05,0.01,0.14,0.05
0.0,0.05,0.07,0.07,0.11,0.02,0.03,0.1,0.02,0.03,0.14,0.03
0.0,0.06,0.23,0.12,0.02,0.0,0.02,0.09,0.06,0.04,0.02,0.04
0.0,0.09,0.05,0.11,0.11,0.0,0.03,0.13,0.09,0.01,0.08,0.06
0.0,0.11,0.1,0.09,0.01,0.0,0.03,0.12,0.08,0.02,0.07,0.07
0.0,0.08,0.1,0.1,0.06,0.0,0.02,0.05,0.03,0.05,0.13,0.0
0.0,0.13,0.09,0.08,0.05,0.0,0.02,0.07,0.05,0.01,0.07,0.03
0.0,0.09,0.11,0.12,0.04,0.0,0.02,0.07,0.06,0.05,0.02,0.06
0.0,0.13,0.12,0.06,0.07,0.02,0.02,0.13,0.03,0.02,0.11,0.04
0.0,0.05,0.14,0.08,0.06,0.02,0.03,0.07,0.05,0.03,0.12,0.03
0.0,0.08,0.09,0.09,0.04,0.0,0.05,0.15,0.08,0.05,0.05,0.06
0.0,0.09,0.09,0.1,0.1,0.0,0.07,0.05,0.01,0.04,0.06,0.04
0.0,0.1,0.14,0.04,0.09,0.03,0.06,0.07,0.01,0.03,0.08,0.07
0.0,0.09,0.12,0.06,0.07,0.01,0.03,0.04,0.02,0.01,0.06,0.07
0.0,0.11,0.08,0.07,0.1,0.02,0.05,0.05,0.04,0.02,0.06,0.06
